2025-06-04 18:17:57,006 - CPU Usage: 30.6% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,056 - CPU Usage: 16.7% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,270 - CPU Usage: 19.0% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,340 - CPU Usage: 35.6% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,391 - CPU Usage: 16.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,440 - CPU Usage: 19.4% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,491 - CPU Usage: 38.9% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,558 - CPU Usage: 39.6% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,625 - CPU Usage: 36.7% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,674 - CPU Usage: 38.9% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,720 - CPU Usage: 52.8% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,789 - CPU Usage: 45.8% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,839 - CPU Usage: 43.8% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,891 - CPU Usage: 50.0% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,939 - CPU Usage: 30.6% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:57,990 - CPU Usage: 13.9% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,036 - CPU Usage: 40.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,090 - CPU Usage: 56.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,137 - CPU Usage: 26.3% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,202 - CPU Usage: 31.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,248 - CPU Usage: 36.1% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,312 - CPU Usage: 62.5% | RAM Usage: 78.6% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,374 - CPU Usage: 41.7% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,419 - CPU Usage: 48.5% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,466 - CPU Usage: 32.4% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,528 - CPU Usage: 40.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,574 - CPU Usage: 13.5% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,638 - CPU Usage: 30.0% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,690 - CPU Usage: 30.6% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,725 - CPU Usage: 29.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,786 - CPU Usage: 31.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,824 - CPU Usage: 62.5% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,876 - CPU Usage: 29.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,939 - CPU Usage: 56.2% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:58,987 - CPU Usage: 38.9% | RAM Usage: 78.9% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,039 - CPU Usage: 41.7% | RAM Usage: 78.8% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,087 - CPU Usage: 41.7% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,161 - CPU Usage: 31.2% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,212 - CPU Usage: 52.8% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:59,274 - CPU Usage: 58.3% | RAM Usage: 78.7% | GPU Load: 0% | GPU Memory: 0MB
